No,브랜드,시즌,통화(FROM),통화(TO),카테고리,환율
1,I,26S,USD,KRW,의류,1378.86
2,I,26S,USD,KRW,용품,1378.86
3,I,26S,USD,KRW,슈즈,1380
4,I,25F,USD,KRW,의류,1446.83
5,I,25F,USD,KRW,용품,1446.83
6,I,25F,USD,KRW,슈즈,1420
7,I,25S,USD,KRW,의류,1373.09
8,I,25S,USD,KRW,용품,1373.09
9,I,25S,USD,KRW,슈즈,1360.4
10,I,24N,USD,KRW,의류,1302.77
11,I,24N,USD,KRW,용품,1302.77
12,I,24N,USD,KRW,슈즈,1300
13,I,24F,USD,KRW,의류,1322.48
14,I,24F,USD,KRW,용품,1322.48
15,I,24F,USD,KRW,슈즈,1300
16,I,24S,USD,KRW,의류,1302.77
17,I,24S,USD,KRW,용품,1302.77
18,I,24S,USD,KRW,슈즈,1300
19,I,23N,USD,KRW,의류,1330
20,I,23N,USD,KRW,용품,1330
21,I,23N,USD,KRW,슈즈,1300
22,I,23F,USD,KRW,의류,1330
23,I,23F,USD,KRW,용품,1330
24,I,23F,USD,KRW,슈즈,1300
25,I,23S,USD,KRW,의류,1330
26,I,23S,USD,KRW,용품,1330
27,I,23S,USD,KRW,슈즈,1300
28,I,22N,USD,KRW,의류,1330
29,I,22N,USD,KRW,용품,1330
30,I,22N,USD,KRW,슈즈,1300
31,I,21N,USD,KRW,의류,1330
32,I,21N,USD,KRW,용품,1330
33,I,21N,USD,KRW,슈즈,1300
1,X,25F,USD,KRW,의류,1400
2,X,25F,USD,KRW,용품,1400
3,X,25F,USD,KRW,슈즈,1400
4,X,25S,USD,KRW,의류,1350
5,X,25S,USD,KRW,용품,1350
6,X,25S,USD,KRW,슈즈,1350
7,X,24N,USD,KRW,의류,0
8,X,24N,USD,KRW,용품,1318.5
9,X,24N,USD,KRW,슈즈,1318.5
10,X,24F,USD,KRW,의류,1350
11,X,24F,USD,KRW,용품,1350
12,X,24F,USD,KRW,슈즈,1350
13,X,24S,USD,KRW,의류,1350
14,X,24S,USD,KRW,용품,1350
15,X,24S,USD,KRW,슈즈,0
16,X,23N,USD,KRW,의류,1330
17,X,23N,USD,KRW,용품,1330
18,X,23N,USD,KRW,슈즈,1300
19,X,23F,USD,KRW,의류,1330
20,X,23F,USD,KRW,용품,1330
21,X,23F,USD,KRW,슈즈,1300
22,X,23S,USD,KRW,의류,1330
23,X,23S,USD,KRW,용품,1330
24,X,23S,USD,KRW,슈즈,1300
25,X,22N,USD,KRW,의류,1330
26,X,22N,USD,KRW,용품,1330
27,X,22N,USD,KRW,슈즈,1300
28,X,21N,USD,KRW,의류,1330
29,X,21N,USD,KRW,용품,1330
30,X,21N,USD,KRW,슈즈,1300
1,V,26S,USD,KRW,의류,1391.6
2,V,26S,USD,KRW,용품,1391.6
3,V,26S,USD,KRW,슈즈,1391.6
4,V,25F,USD,KRW,의류,1400
5,V,25F,USD,KRW,용품,1400
6,V,25F,USD,KRW,슈즈,1400
7,V,24N,USD,KRW,의류,1330
8,V,24N,USD,KRW,용품,1330
9,V,24N,USD,KRW,슈즈,1330
10,V,24F,USD,KRW,의류,1380
11,V,24F,USD,KRW,용품,1380
12,V,24F,USD,KRW,슈즈,1380
13,V,24S,USD,KRW,의류,1330
14,V,24S,USD,KRW,용품,1330
15,V,24S,USD,KRW,슈즈,1330
16,V,23N,USD,KRW,의류,1330
17,V,23N,USD,KRW,용품,1330
18,V,23N,USD,KRW,슈즈,1300
19,V,23F,USD,KRW,의류,1330
20,V,23F,USD,KRW,용품,1330
21,V,23F,USD,KRW,슈즈,1300
22,V,23S,USD,KRW,의류,1330
23,V,23S,USD,KRW,용품,1330
24,V,23S,USD,KRW,슈즈,1300
25,V,22N,USD,KRW,의류,1330
26,V,22N,USD,KRW,용품,1330
27,V,22N,USD,KRW,슈즈,1300
28,V,21N,USD,KRW,의류,1330
29,V,21N,USD,KRW,용품,1330
30,V,21N,USD,KRW,슈즈,1300
1,ST,26S,USD,KRW,의류,1378.5
2,ST,26S,USD,KRW,용품,1378.5
3,ST,26S,USD,KRW,슈즈,1378.5
4,ST,25F,USD,KRW,의류,1446.5
5,ST,25F,USD,KRW,용품,1446.5
6,ST,25F,USD,KRW,슈즈,1446.5
7,ST,25S,USD,KRW,의류,1351.7
8,ST,25S,USD,KRW,용품,1351.7
9,ST,25S,USD,KRW,슈즈,1351.7
10,ST,24N,USD,KRW,의류,0
11,ST,24N,USD,KRW,용품,1330
12,ST,24N,USD,KRW,슈즈,0
13,ST,24F,USD,KRW,의류,1346.9
14,ST,24F,USD,KRW,용품,1346.9
15,ST,24F,USD,KRW,슈즈,1346.9
16,ST,24S,USD,KRW,의류,1330
17,ST,24S,USD,KRW,용품,1330
18,ST,24S,USD,KRW,슈즈,1330
19,ST,23N,USD,KRW,의류,1330
20,ST,23N,USD,KRW,용품,1330
21,ST,23N,USD,KRW,슈즈,1300
22,ST,23F,USD,KRW,의류,1330
23,ST,23F,USD,KRW,용품,1330
24,ST,23F,USD,KRW,슈즈,1300
25,ST,23S,USD,KRW,의류,1330
26,ST,23S,USD,KRW,용품,1330
27,ST,23S,USD,KRW,슈즈,1300
28,ST,22N,USD,KRW,의류,1330
29,ST,22N,USD,KRW,용품,1330
30,ST,22N,USD,KRW,슈즈,1300
31,ST,21N,USD,KRW,의류,1330
32,ST,21N,USD,KRW,용품,1330
33,ST,21N,USD,KRW,슈즈,1300
1,M,26S,USD,KRW,의류,1380
2,M,26S,USD,KRW,용품,1380
3,M,26S,USD,KRW,슈즈,1380
4,M,25F,USD,KRW,의류,1420
5,M,25F,,,용품,1420
6,M,25F,,,슈즈,1420
7,M,25S,USD,KRW,의류,1360.4
8,M,25S,,,용품,1360.4
9,M,25S,,,슈즈,1360.4
10,M,24N,USD,KRW,의류,1300
11,M,24N,,,용품,1300
12,M,24N,,,슈즈,1300
13,M,24F,USD,KRW,의류,1287.8
14,M,24F,,,용품,1287.8
15,M,24F,,,슈즈,1300
16,M,24S,USD,KRW,의류,1300
17,M,24S,,,용품,1300
18,M,24S,,,슈즈,1300
19,M,23N,USD,KRW,의류,1330
20,M,23N,,,용품,1330
21,M,23N,,,슈즈,1300
22,M,23F,USD,KRW,의류,1330
23,M,23F,,,용품,1330
24,M,23F,,,슈즈,1300
25,M,23S,USD,KRW,의류,1330
26,M,23S,,,용품,1330
27,M,23S,,,슈즈,1300
28,M,22N,USD,KRW,의류,1330
29,M,22N,,,용품,1330
30,M,22N,,,슈즈,1300
31,M,21N,USD,KRW,의류,1330
32,M,21N,,,용품,1330
33,M,21N,,,슈즈,1300
34,M,20S,USD,KRW,의류,1300
35,M,20S,,,용품,1300
36,M,20S,,,슈즈,1300
,X,26S,USD,KRW,의류,1380
,X,26S,USD,KRW,용품,1380
,X,26S,USD,KRW,슈즈,1380
